epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.43175,4.7825,9.58805,2.06676,0,0,0,0,4.45916,5.74923,1.51159,7.777e-05,7.777e-05,7.777e-05
2,11.8052,4.46567,8.05663,1.71889,0,0,0,0,4.32543,4.93341,1.02381,0.00016335,0.00016335,0.00016335
3,14.9071,3.97228,4.81298,1.00451,0,0,0,0,3.93178,4.52155,0.92342,0.000245411,0.000245411,0.000245411
4,17.9738,3.61487,3.89228,0.91702,3e-05,0.00044,0,0,3.86471,4.2279,0.89897,0.000323952,0.000323952,0.000323952
5,21.0391,3.37163,3.34897,0.88019,0.00268,0.05567,0.01242,0.00473,3.36192,3.82577,0.8595,0.000398973,0.000398973,0.000398973
6,24.1841,3.28545,3.07641,0.85974,0.00034,0.00818,0.00373,0.002,3.2673,4.15721,0.85176,0.000470475,0.000470475,0.000470475
7,27.253,3.15742,2.78697,0.84108,0.00147,0.03566,0.02007,0.00921,3.26804,4.0116,0.85466,0.000538457,0.000538457,0.000538457
8,30.6583,3.03356,2.56079,0.82996,0.00462,0.12589,0.0774,0.03254,3.14745,3.67158,0.83609,0.00060292,0.00060292,0.00060292
9,33.6942,3.00628,2.42214,0.8206,0.00431,0.10695,0.06532,0.03289,3.0565,3.73469,0.82119,0.000663862,0.000663862,0.000663862
10,36.7809,2.8988,2.28622,0.81785,0.00485,0.09782,0.04834,0.01853,3.10667,3.74693,0.82678,0.000721286,0.000721286,0.000721286
11,39.8803,2.86442,2.16751,0.80533,0.00775,0.13466,0.06855,0.02691,3.04786,3.70906,0.82354,0.000775189,0.000775189,0.000775189
12,42.9784,2.8445,2.11518,0.80402,0.02855,0.2029,0.09202,0.034,2.95614,3.53653,0.81044,0.000825573,0.000825573,0.000825573
13,46.0908,2.8553,2.04861,0.79287,0.03864,0.33514,0.168,0.05758,2.85754,3.27951,0.79905,0.000847026,0.000847026,0.000847026
14,49.1985,2.75471,1.93246,0.79542,0.50796,0.18495,0.22595,0.08875,2.86265,2.77762,0.7958,0.000825029,0.000825029,0.000825029
15,52.3184,2.74474,1.88322,0.79017,0.48783,0.14957,0.21247,0.07691,2.7721,2.96403,0.79285,0.000803031,0.000803031,0.000803031
16,55.3691,2.74499,1.84522,0.78833,0.71829,0.15549,0.35299,0.13784,2.63967,2.42534,0.77673,0.000781033,0.000781033,0.000781033
17,58.4264,2.72405,1.77876,0.78491,0.69312,0.18366,0.39061,0.14782,2.60862,2.2096,0.77236,0.000759035,0.000759035,0.000759035
18,61.5152,2.66932,1.70947,0.78332,0.70353,0.32743,0.46084,0.18293,2.56535,1.90539,0.77243,0.000737037,0.000737037,0.000737037
19,64.6288,2.59616,1.66436,0.7819,0.64714,0.44957,0.49066,0.19506,2.52527,1.57371,0.76854,0.00071504,0.00071504,0.00071504
20,67.6767,2.59914,1.62743,0.78145,0.69186,0.44409,0.53232,0.21401,2.48791,1.63431,0.75868,0.000693042,0.000693042,0.000693042
21,70.7047,2.55195,1.61359,0.7826,0.64667,0.44523,0.49018,0.19535,2.54118,1.58936,0.772,0.000671044,0.000671044,0.000671044
22,73.7345,2.59277,1.59667,0.78098,0.67783,0.51549,0.56589,0.23696,2.29654,1.46621,0.75771,0.000649046,0.000649046,0.000649046
23,76.7851,2.50216,1.51508,0.77407,0.6745,0.54454,0.58263,0.2382,2.34364,1.35735,0.76101,0.000627048,0.000627048,0.000627048
24,79.9426,2.48553,1.49645,0.77153,0.68345,0.55954,0.58832,0.25208,2.29023,1.42375,0.75707,0.000605051,0.000605051,0.000605051
25,83.2715,2.5202,1.51245,0.77656,0.68351,0.59199,0.62747,0.26509,2.33969,1.23907,0.75999,0.000583053,0.000583053,0.000583053
26,86.3318,2.49749,1.4608,0.77284,0.67672,0.55134,0.59566,0.23006,2.40256,1.24136,0.76385,0.000561055,0.000561055,0.000561055
27,89.3749,2.42722,1.41202,0.77738,0.67435,0.57276,0.59731,0.24186,2.38409,1.16595,0.76318,0.000539057,0.000539057,0.000539057
28,92.4597,2.45635,1.40892,0.77143,0.70973,0.60192,0.64642,0.27426,2.29092,1.18032,0.76046,0.000517059,0.000517059,0.000517059
29,96.0616,2.48628,1.3941,0.76677,0.71072,0.63238,0.66113,0.28822,2.21364,1.0767,0.75336,0.000495062,0.000495062,0.000495062
30,99.1126,2.405,1.36337,0.76679,0.73585,0.63967,0.67736,0.30153,2.17033,1.05218,0.75472,0.000473064,0.000473064,0.000473064
31,102.168,2.41753,1.35934,0.765,0.76564,0.64667,0.69215,0.30839,2.17161,1.04888,0.7522,0.000451066,0.000451066,0.000451066
32,105.209,2.38713,1.3635,0.76824,0.76685,0.63146,0.69099,0.30468,2.1767,1.06556,0.75476,0.000429068,0.000429068,0.000429068
33,108.24,2.43927,1.36106,0.76456,0.78134,0.64482,0.70199,0.30488,2.18598,1.03149,0.75453,0.00040707,0.00040707,0.00040707
34,111.269,2.38535,1.32792,0.76302,0.75622,0.66769,0.72106,0.31523,2.17932,1.05122,0.75269,0.000385073,0.000385073,0.000385073
35,114.315,2.3965,1.33099,0.7619,0.76348,0.64225,0.69578,0.30072,2.17502,1.02371,0.75235,0.000363075,0.000363075,0.000363075
36,117.811,2.36225,1.2974,0.76148,0.75034,0.65399,0.69922,0.29864,2.19781,1.00248,0.75325,0.000341077,0.000341077,0.000341077
37,120.821,2.397,1.29776,0.76298,0.73081,0.65209,0.68327,0.26321,2.36902,1.03706,0.75565,0.000319079,0.000319079,0.000319079
38,123.844,2.40806,1.31048,0.76371,0.72845,0.65848,0.70776,0.31886,2.10776,1.01044,0.75141,0.000297081,0.000297081,0.000297081
39,126.904,2.36622,1.27575,0.76007,0.68629,0.65018,0.66193,0.30386,2.15731,1.01845,0.75407,0.000275084,0.000275084,0.000275084
40,130.426,2.34711,1.24743,0.75531,0.76704,0.65441,0.70407,0.33031,2.08741,0.96157,0.74867,0.000253086,0.000253086,0.000253086
41,136.505,2.08007,1.19477,0.77683,0.74546,0.66769,0.71198,0.30391,2.18638,1.03449,0.75101,0.000231088,0.000231088,0.000231088
42,139.532,1.9994,1.13203,0.77326,0.76773,0.67133,0.71937,0.32188,2.11682,0.97557,0.74819,0.00020909,0.00020909,0.00020909
43,142.46,1.9673,1.10225,0.77127,0.78834,0.69685,0.73415,0.33239,2.10942,0.94596,0.75056,0.000187092,0.000187092,0.000187092
44,145.328,1.9921,1.10809,0.76698,0.78339,0.69424,0.7483,0.34992,2.01742,0.93279,0.74755,0.000165095,0.000165095,0.000165095
45,148.199,1.95416,1.08211,0.76717,0.78571,0.70231,0.74366,0.34602,2.04227,0.91633,0.74551,0.000143097,0.000143097,0.000143097
46,151.05,1.95592,1.07652,0.76635,0.77864,0.71469,0.74773,0.33395,2.10969,0.91799,0.74749,0.000121099,0.000121099,0.000121099
47,153.897,1.94606,1.07033,0.76482,0.76902,0.69741,0.74048,0.35365,2.00394,0.89986,0.74625,9.91012e-05,9.91012e-05,9.91012e-05
48,156.762,1.91885,1.05208,0.76809,0.78073,0.71799,0.75492,0.35293,2.04397,0.90197,0.74524,7.71034e-05,7.71034e-05,7.71034e-05
49,159.672,1.947,1.05902,0.76466,0.79616,0.68995,0.75019,0.36681,1.96618,0.88697,0.74401,5.51056e-05,5.51056e-05,5.51056e-05
50,162.527,1.92211,1.0524,0.76503,0.78998,0.71433,0.76482,0.36298,1.99083,0.88404,0.74387,3.31078e-05,3.31078e-05,3.31078e-05
