epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0258,3.23837,3.05287,1.10301,0.32554,0.24385,0.19216,0.0797,2.48126,1.64008,0.81559,0.00029694,0.00029694,0.00029694
2,32.134,2.30274,1.21219,0.81258,0.61063,0.45238,0.46251,0.18584,2.15354,1.04304,0.76811,0.00059598,0.00059598,0.00059598
3,47.2718,2.15036,1.04588,0.78764,0.65655,0.5493,0.55358,0.23092,1.9703,0.90845,0.75249,0.000891021,0.000891021,0.000891021
4,62.9443,2.02244,0.95822,0.77796,0.75155,0.5906,0.61019,0.2616,1.93497,0.84551,0.74752,0.000891002,0.000891002,0.000891002
5,78.0865,1.92842,0.89824,0.76972,0.75867,0.60224,0.66424,0.30105,1.8529,0.85785,0.74017,0.000885002,0.000885002,0.000885002
6,93.0404,1.89774,0.86468,0.76435,0.81256,0.64019,0.68443,0.31176,1.81976,0.7684,0.73963,0.000879003,0.000879003,0.000879003
7,108.051,1.86237,0.82163,0.76179,0.80857,0.67967,0.71383,0.32395,1.83249,0.71611,0.73649,0.000873004,0.000873004,0.000873004
8,122.979,1.80878,0.77519,0.75493,0.83516,0.70719,0.75951,0.3673,1.6735,0.67966,0.73002,0.000867004,0.000867004,0.000867004
9,137.987,1.76893,0.76269,0.75666,0.81688,0.73266,0.77079,0.37783,1.65879,0.66227,0.72875,0.000861005,0.000861005,0.000861005
10,152.998,1.76358,0.75096,0.75256,0.82376,0.73653,0.78597,0.38657,1.67228,0.66368,0.73032,0.000855005,0.000855005,0.000855005
11,167.907,1.72147,0.73145,0.75226,0.82831,0.75183,0.78895,0.40109,1.59225,0.6507,0.72735,0.000849006,0.000849006,0.000849006
12,182.856,1.71833,0.73736,0.75112,0.83204,0.72811,0.7691,0.36468,1.73829,0.67797,0.73029,0.000843007,0.000843007,0.000843007
13,197.85,1.65576,0.69375,0.74692,0.86997,0.76306,0.81641,0.42288,1.60576,0.62754,0.72507,0.000837007,0.000837007,0.000837007
14,212.896,1.68945,0.70711,0.74927,0.84213,0.77102,0.8093,0.39787,1.63958,0.64703,0.72518,0.000831008,0.000831008,0.000831008
15,227.746,1.64058,0.68722,0.74705,0.8698,0.77152,0.82523,0.42274,1.59692,0.61997,0.72392,0.000825008,0.000825008,0.000825008
16,242.464,1.64811,0.68455,0.74609,0.892,0.77369,0.83069,0.40409,1.69349,0.63311,0.72651,0.000819009,0.000819009,0.000819009
17,257.206,1.6363,0.67303,0.74578,0.87623,0.80009,0.84796,0.45455,1.49892,0.59138,0.72256,0.00081301,0.00081301,0.00081301
18,272.118,1.63786,0.67053,0.74335,0.87824,0.81372,0.85485,0.45123,1.53836,0.59195,0.72044,0.00080701,0.00080701,0.00080701
19,286.902,1.5771,0.64198,0.73992,0.88655,0.81302,0.85646,0.44311,1.57835,0.59783,0.72077,0.000801011,0.000801011,0.000801011
