epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.42787,4.88522,10.6038,2.10887,0,0,0,0,4.46585,5.75363,1.52301,7.777e-05,7.777e-05,7.777e-05
2,6.38746,4.62683,8.86461,1.76223,0,0,0,0,4.24628,4.98194,1.04097,0.00016335,0.00016335,0.00016335
3,9.4764,4.07844,4.92203,1.00128,0,0,0,0,4.2182,4.67218,0.95378,0.000245411,0.000245411,0.000245411
4,12.5727,3.70532,3.98767,0.90858,0,0,0,0,3.58979,4.42349,0.89922,0.000323952,0.000323952,0.000323952
5,15.6484,3.45674,3.4084,0.87266,0.00013,0.00229,0.00125,0.0005,3.86074,4.39228,0.92527,0.000398973,0.000398973,0.000398973
6,19.0541,3.34062,3.10787,0.84672,7e-05,0.00137,0.002,0.0011,3.4065,4.42583,0.86679,0.000470475,0.000470475,0.000470475
7,22.1015,3.22031,2.81548,0.8311,0.00107,0.02971,0.00466,0.0022,3.36243,4.15137,0.86757,0.000538457,0.000538457,0.000538457
8,25.1753,3.06235,2.58923,0.82337,0.00339,0.10393,0.02675,0.01011,3.13997,3.73074,0.83891,0.00060292,0.00060292,0.00060292
9,28.2935,3.06982,2.47603,0.81559,0.01172,0.22308,0.08431,0.03192,3.07489,3.37077,0.81688,0.000663862,0.000663862,0.000663862
10,31.3793,3.00441,2.37937,0.81235,0.02233,0.34633,0.13094,0.03885,3.11219,3.18066,0.81379,0.000721286,0.000721286,0.000721286
11,34.5027,2.97114,2.28109,0.80006,0.02415,0.40054,0.16756,0.07024,2.81441,3.07319,0.79732,0.000775189,0.000775189,0.000775189
12,37.575,2.88396,2.15982,0.79119,0.03404,0.49564,0.21129,0.09028,2.8316,2.87396,0.7956,0.000825573,0.000825573,0.000825573
13,40.7047,2.92935,2.11155,0.78747,0.0343,0.45866,0.20542,0.08402,2.84745,2.89896,0.79792,0.000847026,0.000847026,0.000847026
14,43.7752,2.82674,1.98546,0.79236,0.04227,0.51235,0.26487,0.10507,2.84952,2.71141,0.80252,0.000825029,0.000825029,0.000825029
15,46.8597,2.76347,1.88987,0.78283,0.63558,0.09791,0.26207,0.10431,2.79666,2.46627,0.79955,0.000803031,0.000803031,0.000803031
16,49.9341,2.75997,1.84991,0.77935,0.74068,0.1695,0.34304,0.1448,2.63843,2.25776,0.77898,0.000781033,0.000781033,0.000781033
17,53.5351,2.74822,1.80001,0.7774,0.71717,0.16783,0.40773,0.16865,2.50153,2.25816,0.77329,0.000759035,0.000759035,0.000759035
18,56.6287,2.6744,1.7242,0.77012,0.66133,0.32256,0.44975,0.18318,2.43109,1.84928,0.76912,0.000737037,0.000737037,0.000737037
19,60.1635,2.6657,1.69815,0.7773,0.6261,0.42417,0.48762,0.20996,2.41335,1.6211,0.76415,0.00071504,0.00071504,0.00071504
20,63.2147,2.62055,1.65065,0.77113,0.63045,0.48251,0.51421,0.21478,2.47378,1.55249,0.77041,0.000693042,0.000693042,0.000693042
21,66.2553,2.58849,1.64025,0.77524,0.63629,0.48777,0.53158,0.19848,2.53347,1.47756,0.77138,0.000671044,0.000671044,0.000671044
22,69.764,2.59679,1.60959,0.77067,0.65205,0.51559,0.55955,0.23756,2.33929,1.40971,0.76052,0.000649046,0.000649046,0.000649046
23,72.7961,2.52694,1.54656,0.76753,0.66501,0.53266,0.5695,0.2438,2.32069,1.36186,0.76043,0.000627048,0.000627048,0.000627048
24,75.9176,2.5363,1.53412,0.76574,0.62043,0.51784,0.57334,0.24807,2.28175,1.37801,0.76028,0.000605051,0.000605051,0.000605051
25,78.9787,2.5283,1.53308,0.76636,0.67419,0.53819,0.58748,0.24955,2.23677,1.42332,0.75674,0.000583053,0.000583053,0.000583053
