epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3453,3.30995,3.11795,1.07974,0.37741,0.28972,0.23841,0.09265,2.45482,1.44346,0.81349,0.00029694,0.00029694,0.00029694
2,30.2035,2.35489,1.22523,0.79943,0.60579,0.48109,0.47243,0.20154,2.07158,0.97691,0.76524,0.00059598,0.00059598,0.00059598
3,45.0377,2.19848,1.07676,0.77471,0.6911,0.53829,0.55427,0.2362,1.97839,0.87749,0.75434,0.000891021,0.000891021,0.000891021
4,60.2646,2.12319,0.98328,0.76854,0.77253,0.57235,0.62065,0.26227,1.91372,0.85092,0.74873,0.000891002,0.000891002,0.000891002
5,75.0523,2.01029,0.93607,0.75847,0.78423,0.63717,0.65661,0.29828,1.78786,0.80302,0.73961,0.000885002,0.000885002,0.000885002
6,89.8035,1.95965,0.86616,0.75462,0.79513,0.65287,0.69635,0.32226,1.82844,0.75175,0.7391,0.000879003,0.000879003,0.000879003
7,104.588,1.88606,0.82948,0.74879,0.81158,0.68419,0.72952,0.3417,1.7176,0.71519,0.73461,0.000873004,0.000873004,0.000873004
8,119.384,1.84441,0.7934,0.74395,0.84314,0.70091,0.75741,0.37339,1.66006,0.68821,0.73282,0.000867004,0.000867004,0.000867004
9,134.112,1.81179,0.7802,0.74457,0.83791,0.72029,0.77445,0.37921,1.66282,0.68897,0.73169,0.000861005,0.000861005,0.000861005
10,148.829,1.75074,0.73857,0.73993,0.85542,0.74909,0.80204,0.40798,1.57986,0.65036,0.7281,0.000855005,0.000855005,0.000855005
11,164.019,1.74191,0.73719,0.74116,0.80805,0.7279,0.761,0.38107,1.7133,0.68943,0.73374,0.000849006,0.000849006,0.000849006
12,178.592,1.72709,0.72617,0.73872,0.83129,0.76955,0.80016,0.40144,1.62665,0.63894,0.72692,0.000843007,0.000843007,0.000843007
13,193.143,1.71012,0.70479,0.73589,0.86351,0.76845,0.81214,0.4303,1.51696,0.61407,0.72497,0.000837007,0.000837007,0.000837007
14,207.94,1.67971,0.68427,0.73415,0.87234,0.78395,0.83423,0.44342,1.52464,0.60934,0.72472,0.000831008,0.000831008,0.000831008
15,222.666,1.67123,0.69354,0.73612,0.86957,0.78419,0.82798,0.45198,1.49871,0.60281,0.72425,0.000825008,0.000825008,0.000825008
16,237.453,1.6748,0.69397,0.73674,0.87929,0.77382,0.83195,0.44017,1.54361,0.62082,0.72609,0.000819009,0.000819009,0.000819009
17,252.031,1.65234,0.67937,0.73313,0.87459,0.78629,0.83599,0.44642,1.50673,0.59748,0.72257,0.00081301,0.00081301,0.00081301
