epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4934,3.12861,2.55229,1.03307,0.38092,0.29561,0.24199,0.09259,2.46893,1.36085,0.80019,0.000299777,0.000299777,0.000299777
2,89.3133,2.35249,1.2458,0.81677,0.56154,0.40681,0.39851,0.15823,2.17864,1.01752,0.76738,0.000598798,0.000598798,0.000598798
3,132.332,2.18895,1.09574,0.79712,0.58168,0.48586,0.46167,0.17652,2.24408,0.9366,0.76211,0.00089382,0.00089382,0.00089382
4,175.241,2.06594,0.98914,0.78402,0.6655,0.57132,0.58143,0.24733,1.96162,0.87266,0.74525,0.000891002,0.000891002,0.000891002
5,217.758,2.09304,0.97895,0.78049,0.72522,0.55363,0.58717,0.24485,2.03885,0.85676,0.74703,0.000885002,0.000885002,0.000885002
6,260.243,2.01947,0.91691,0.77243,0.73673,0.62535,0.64354,0.29432,1.80898,0.77115,0.73758,0.000879003,0.000879003,0.000879003
7,302.926,1.92392,0.86848,0.76977,0.7393,0.627,0.65686,0.29324,1.85236,0.792,0.73717,0.000873004,0.000873004,0.000873004
8,345.772,1.91691,0.85598,0.76549,0.78202,0.63893,0.66759,0.28634,1.9292,0.77849,0.73912,0.000867004,0.000867004,0.000867004
9,388.569,1.88546,0.82325,0.76061,0.80744,0.66812,0.70917,0.31903,1.80107,0.72026,0.73304,0.000861005,0.000861005,0.000861005
10,431.274,1.8131,0.79192,0.75896,0.80331,0.68399,0.72793,0.34438,1.75482,0.71567,0.73008,0.000855005,0.000855005,0.000855005
11,473.98,1.78337,0.77611,0.75905,0.82549,0.716,0.7596,0.35924,1.75055,0.69239,0.73049,0.000849006,0.000849006,0.000849006
12,516.751,1.82014,0.78908,0.75723,0.80694,0.70254,0.73563,0.32325,1.87803,0.73735,0.73183,0.000843007,0.000843007,0.000843007
13,559.125,1.80657,0.78832,0.7573,0.83453,0.72111,0.76587,0.37022,1.68728,0.67026,0.72662,0.000837007,0.000837007,0.000837007
14,601.996,1.74955,0.75168,0.7541,0.82723,0.72955,0.77001,0.37196,1.69601,0.67361,0.72592,0.000831008,0.000831008,0.000831008
15,645.024,1.74156,0.7543,0.75335,0.825,0.73031,0.77832,0.38535,1.66609,0.67443,0.7267,0.000825008,0.000825008,0.000825008
16,687.907,1.73881,0.73852,0.75081,0.8553,0.73771,0.77586,0.38679,1.65578,0.63795,0.72455,0.000819009,0.000819009,0.000819009
17,730.948,1.72334,0.73466,0.75014,0.8528,0.73598,0.78494,0.3772,1.69971,0.66667,0.72544,0.00081301,0.00081301,0.00081301
18,773.915,1.67895,0.70635,0.7483,0.84974,0.76933,0.81041,0.41995,1.59704,0.63134,0.72321,0.00080701,0.00080701,0.00080701
19,816.839,1.67963,0.70421,0.74924,0.85625,0.76277,0.80722,0.40956,1.60939,0.63786,0.72571,0.000801011,0.000801011,0.000801011
20,859.82,1.67757,0.70084,0.74769,0.85594,0.77481,0.81127,0.41948,1.59214,0.62624,0.72354,0.000795011,0.000795011,0.000795011
21,902.253,1.64635,0.68935,0.7467,0.87464,0.78012,0.82763,0.43806,1.52918,0.59606,0.72076,0.000789012,0.000789012,0.000789012
22,945.488,1.63022,0.68053,0.7463,0.85152,0.79271,0.82716,0.43294,1.55724,0.60746,0.72107,0.000783013,0.000783013,0.000783013
23,988.236,1.62949,0.67345,0.74256,0.86836,0.78064,0.83049,0.4488,1.53515,0.59792,0.72078,0.000777013,0.000777013,0.000777013
24,1031.03,1.62122,0.67455,0.74496,0.87112,0.77814,0.83219,0.42853,1.55374,0.6005,0.72065,0.000771014,0.000771014,0.000771014
25,1073.6,1.63168,0.6708,0.74391,0.84973,0.80191,0.82427,0.43384,1.58149,0.6094,0.7215,0.000765014,0.000765014,0.000765014
