epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6289,2.32046,4.19442,4.56842,1.46893,0,0.88233,0.02036,0.02188,0.00894,0.881,0.01892,0.01968,0.00693,2.93146,4.35286,4.25262,1.20503,0,0.0001221,0.0001221,0.0001221
2,79.6064,2.1953,3.50507,3.25739,1.1333,0,0.7242,0.04965,0.04455,0.02925,0.71442,0.04801,0.04258,0.02381,2.72521,4.13088,3.36178,1.15729,0,0.000229235,0.000229235,0.000229235
3,116.442,2.06215,3.27781,2.71635,1.05102,0,0.45989,0.0871,0.0567,0.02916,0.41724,0.0789,0.04267,0.01806,2.67665,3.91802,3.08038,1.1598,0,0.000320089,0.000320089,0.000320089
4,152.67,1.97626,3.08513,2.49411,1.01786,0,0.29699,0.09512,0.07219,0.03759,0.27765,0.08723,0.05736,0.02597,2.6402,3.96781,3.01663,1.13835,0,0.00029674,0.00029674,0.00029674
5,188.384,1.8551,2.83448,2.30943,0.98005,0,0.449,0.11889,0.09353,0.04635,0.42584,0.10697,0.07012,0.02881,2.50953,3.80803,2.78768,1.1206,0,0.00027232,0.00027232,0.00027232
6,204.397,2.04754,2.85792,2.58031,0.96895,0,0.50403,0.10907,0.08828,0.05253,0.4667,0.10362,0.06308,0.03338,2.60694,3.78251,2.94227,1.09551,0,0.0002479,0.0002479,0.0002479
7,217.395,1.95629,2.72293,2.40821,0.94037,0,0.60091,0.12744,0.10819,0.06395,0.50142,0.11475,0.07457,0.03905,2.44978,3.63304,2.71445,1.09132,0,0.00022348,0.00022348,0.00022348
8,230.334,1.91648,2.66022,2.28926,0.93027,0,0.50887,0.13525,0.12029,0.07001,0.44561,0.11929,0.08016,0.04251,2.42031,3.60983,2.65178,1.06614,0,0.00019906,0.00019906,0.00019906
9,243.155,1.89459,2.63125,2.20404,0.91235,0,0.47683,0.14077,0.11932,0.06593,0.37203,0.12315,0.08091,0.04086,2.4805,3.70188,2.72739,1.08152,0,0.00017464,0.00017464,0.00017464
10,256.197,1.86048,2.55001,2.11769,0.90909,0,0.39692,0.13579,0.12238,0.06992,0.32014,0.1229,0.0835,0.041,2.48548,3.55458,2.76591,1.08676,0,0.00015022,0.00015022,0.00015022
11,268.843,1.83603,2.48282,2.06492,0.90653,0,0.40024,0.15128,0.12708,0.07357,0.26867,0.13914,0.08772,0.0441,2.40342,3.57722,2.63346,1.05826,0,0.0001258,0.0001258,0.0001258
12,282.052,1.82914,2.48345,2.02262,0.90413,0,0.40504,0.14885,0.12723,0.06998,0.27689,0.13979,0.08543,0.04085,2.44193,3.55697,2.7146,1.07722,0,0.00010138,0.00010138,0.00010138
13,294.685,1.79401,2.39167,2.00577,0.89705,0,0.54526,0.13737,0.12843,0.0736,0.36657,0.11905,0.08211,0.04123,2.4297,3.5872,2.72813,1.07274,0,7.696e-05,7.696e-05,7.696e-05
14,307.623,1.77491,2.43976,1.95162,0.89233,0,0.46197,0.15271,0.13505,0.07604,0.36631,0.12958,0.09,0.0447,2.40029,3.52872,2.65612,1.06382,0,5.254e-05,5.254e-05,5.254e-05
15,320.313,1.72848,2.3901,1.90305,0.88272,0,0.46544,0.14493,0.13375,0.07657,0.30634,0.14129,0.08899,0.04466,2.39399,3.49083,2.66771,1.06192,0,2.812e-05,2.812e-05,2.812e-05
