epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.45297,4.85186,11.0664,1.68714,7e-05,0.00122,0,0,4.55226,4.84037,1.28231,2e-05,2e-05,2e-05
2,8.20413,4.97041,11.3093,1.78384,7e-05,0.00122,0,0,4.56038,4.85661,1.29051,5.406e-05,5.406e-05,5.406e-05
3,9.00817,4.8699,10.614,1.78659,7e-05,0.00122,0,0,4.57632,4.86652,1.29712,8.02e-05,8.02e-05,8.02e-05
4,9.72101,4.9259,11.4987,1.76485,7e-05,0.00122,0,0,4.5659,4.88745,1.28181,9.842e-05,9.842e-05,9.842e-05
5,10.4399,4.98745,11.0226,1.76556,7e-05,0.00122,0,0,4.56227,4.8874,1.29064,0.00010872,0.00010872,0.00010872
6,11.1542,5.02793,12.1494,1.77671,7e-05,0.00122,0,0,4.37665,4.71028,1.21274,0.0001111,0.0001111,0.0001111
7,11.9759,4.67687,8.51324,1.51538,0.00013,0.00243,0,0,4.04852,4.39601,1.07947,0.00010556,0.00010556,0.00010556
8,12.795,4.26414,6.40397,1.30656,0.00047,0.00852,0,0,3.8365,4.22396,0.97971,9.21e-05,9.21e-05,9.21e-05
9,13.6168,4.07666,5.81997,1.15525,0.001,0.01825,3e-05,0,3.91835,4.14655,0.93663,7.072e-05,7.072e-05,7.072e-05
10,14.4365,3.90938,5.15895,1.10433,0.001,0.01825,3e-05,1e-05,4.03331,4.12827,0.91091,4.142e-05,4.142e-05,4.142e-05
