epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.02117,4.90789,10.8383,1.7546,7e-05,0.00122,0,0,3.79149,4.26229,1.02605,0.00024,0.00024,0.00024
2,7.17634,4.00788,4.91914,1.09704,0.00113,0.02068,4e-05,1e-05,4.28157,4.10467,0.8958,0.0004505,0.0004505,0.0004505
3,8.3515,3.7722,4.03197,1.01185,0.0006,0.01095,1e-05,0,4.17688,4.02209,0.93945,0.00060952,0.00060952,0.00060952
4,9.49019,3.51282,3.30583,0.96946,0.0048,0.08759,0.00047,8e-05,4.08943,3.70797,0.94189,0.00071706,0.00071706,0.00071706
5,10.6861,3.61699,3.30586,0.92974,0.0074,0.13504,0.00758,0.00213,4.22468,3.55853,0.94749,0.00077312,0.00077312,0.00077312
6,11.7969,3.39597,2.84265,0.90535,0.01233,0.22506,0.02157,0.00575,4.07361,3.08091,0.93776,0.0007777,0.0007777,0.0007777
7,12.9042,3.3582,2.81922,0.9059,0.0148,0.27007,0.03784,0.00732,3.95882,2.86585,0.92584,0.0007308,0.0007308,0.0007308
8,14.0132,3.28155,2.66012,0.91391,0.13625,0.11436,0.02627,0.00421,4.2731,2.82008,0.95006,0.000614,0.000614,0.000614
9,15.1457,3.207,2.60532,0.88089,0.28531,0.04501,0.0457,0.00869,4.11274,2.62383,0.94525,0.000416,0.000416,0.000416
10,16.2538,3.20937,2.54676,0.87725,0.25553,0.08477,0.05631,0.01139,4.10328,2.42506,0.93787,0.000218,0.000218,0.000218
