epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.86011,5.10561,7.35542,1.21925,0.001,0.01825,3e-05,0,4.83598,4.65603,1.10242,2e-05,2e-05,2e-05
2,8.97862,5.15825,7.54415,1.26937,0.00113,0.02068,4e-05,1e-05,4.82576,4.65181,1.10312,5.406e-05,5.406e-05,5.406e-05
3,9.6873,5.14818,7.39038,1.25133,0.00107,0.01946,3e-05,0,4.82196,4.63945,1.10043,8.02e-05,8.02e-05,8.02e-05
4,10.4014,5.21918,7.72356,1.24629,0.00107,0.01946,3e-05,0,4.80562,4.63406,1.09696,9.842e-05,9.842e-05,9.842e-05
5,11.1317,5.02066,6.71084,1.22982,0.02624,0.00973,0.00122,0.00021,4.2041,3.90621,1.00782,0.00010872,0.00010872,0.00010872
6,11.9815,4.56509,5.41741,1.14476,0.04862,0.0219,0.00302,0.00055,4.10048,3.69389,0.98759,0.0001111,0.0001111,0.0001111
7,12.8435,4.42474,4.95399,1.16248,0.07037,0.04136,0.00787,0.00187,3.98689,3.3467,0.97678,0.00010556,0.00010556,0.00010556
8,13.6884,4.20336,4.27232,1.10354,0.08788,0.06569,0.01681,0.00395,3.88304,3.09494,0.96003,9.21e-05,9.21e-05,9.21e-05
9,14.5383,4.12643,4.11636,1.11163,0.10275,0.09124,0.02584,0.00588,3.79942,2.95541,0.94974,7.072e-05,7.072e-05,7.072e-05
10,15.375,3.92229,3.76779,1.04759,0.12358,0.09727,0.03306,0.00777,3.76004,2.87723,0.94097,4.142e-05,4.142e-05,4.142e-05
