epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.0871,4.86202,6.48017,1.19988,0.0995,0.07299,0.01711,0.00325,4.1474,3.28184,1.01692,0.00024,0.00024,0.00024
2,6.31365,3.82813,3.58559,1.0055,0.20678,0.16788,0.089,0.02056,3.75437,2.50461,0.91771,0.0004505,0.0004505,0.0004505
3,7.51035,3.50773,3.07127,0.91218,0.16315,0.12044,0.05325,0.01122,3.98185,2.49697,0.89694,0.00060952,0.00060952,0.00060952
4,8.66315,3.28078,2.64007,0.90491,0.23185,0.18735,0.11025,0.02522,3.83253,2.48308,0.89889,0.00071706,0.00071706,0.00071706
5,9.81234,3.21325,2.48307,0.86642,0.10589,0.09854,0.02628,0.00435,4.22717,2.46659,0.96534,0.00077312,0.00077312,0.00077312
6,10.9779,3.04607,2.21856,0.86065,0.23193,0.15328,0.09168,0.0229,3.75007,2.35899,0.8994,0.0007777,0.0007777,0.0007777
7,12.07,3.14504,2.25455,0.86265,0.26307,0.18127,0.11968,0.02798,3.64325,2.18817,0.86116,0.0007308,0.0007308,0.0007308
8,13.2037,3.05851,2.12857,0.84123,0.20485,0.18491,0.09746,0.01873,3.73387,2.11705,0.87371,0.000614,0.000614,0.000614
9,14.2957,2.99507,2.06286,0.84306,0.24336,0.17762,0.1124,0.02012,3.74823,2.06739,0.87471,0.000416,0.000416,0.000416
10,15.4627,2.97671,2.03917,0.82876,0.28293,0.2056,0.13562,0.02605,3.65898,2.01132,0.86617,0.000218,0.000218,0.000218
