epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.46603,4.51271,10.538,1.97891,0,0,0,0,4.45697,5.79582,1.5356,7.777e-05,7.777e-05,7.777e-05
2,9.3073,4.33428,9.27353,1.74972,0,0,0,0,4.30775,4.88806,1.00343,0.000150152,0.000150152,0.000150152
3,13.0147,3.8125,5.2468,1.01137,0,0,0,0,3.9939,4.61997,0.94843,0.000204935,0.000204935,0.000204935
4,15.8236,3.4496,4.24165,0.93477,0,0,0,0,3.70253,4.37749,0.89904,0.00024212,0.00024212,0.00024212
5,18.6798,3.24055,3.65388,0.89077,0.00017,0.0041,0.00017,0.00015,3.19634,4.16214,0.85718,0.000261707,0.000261707,0.000261707
6,22.228,3.04889,3.27393,0.87341,0.00063,0.01782,0.00993,0.00511,3.21806,4.08614,0.88565,0.000263696,0.000263696,0.000263696
7,25.1052,2.9186,2.96985,0.85525,0.00298,0.07982,0.03709,0.01508,3.10358,3.78147,0.85568,0.000248086,0.000248086,0.000248086
8,27.9857,2.85113,2.7596,0.84678,0.00416,0.12195,0.05984,0.02217,3.07115,3.68608,0.85868,0.000214879,0.000214879,0.000214879
9,30.8525,2.81074,2.65074,0.83259,0.00581,0.15197,0.07601,0.03133,2.94712,3.58022,0.83267,0.000164072,0.000164072,0.000164072
10,33.7329,2.76097,2.5773,0.83254,0.01707,0.33121,0.17301,0.07346,2.83824,3.24721,0.81907,9.56682e-05,9.56682e-05,9.56682e-05
