epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8634,4.58742,5.23079,1.64793,0,0,0,0,4.75165,4.35469,1.14132,0.00016362,0.00016362,0.00016362
2,17.9287,3.91124,3.20257,1.01765,0.01301,0.04456,0.00745,0.0018,3.62859,3.45409,0.96491,0.000325231,0.000325231,0.000325231
3,21.9078,3.44478,2.35913,0.92495,0.02621,0.09291,0.0411,0.01326,3.33872,2.97613,0.9734,0.000475443,0.000475443,0.000475443
4,25.8833,3.20335,2.08553,0.89196,0.0365,0.15689,0.05835,0.02047,3.05471,2.83535,0.88639,0.000614257,0.000614257,0.000614257
5,29.7973,3.13181,1.95526,0.87073,0.04548,0.16676,0.07018,0.02624,2.93936,2.55006,0.86016,0.000741671,0.000741671,0.000741671
6,33.7457,3.03125,1.87938,0.85695,0.05945,0.23743,0.09545,0.03396,2.86903,2.39941,0.85303,0.000759015,0.000759015,0.000759015
7,37.7253,2.9231,1.76156,0.85227,0.10421,0.2171,0.11409,0.04194,2.89822,2.13355,0.84876,0.000729018,0.000729018,0.000729018
8,41.6573,2.85361,1.6778,0.84082,0.43393,0.10925,0.13072,0.0465,2.92313,1.86085,0.85319,0.000699021,0.000699021,0.000699021
9,45.546,2.76817,1.61641,0.8347,0.24766,0.17838,0.14183,0.05439,2.71447,1.76813,0.82593,0.000669024,0.000669024,0.000669024
10,50.0847,2.71986,1.55456,0.82544,0.30582,0.22325,0.18361,0.06319,2.68462,1.78702,0.81667,0.000639027,0.000639027,0.000639027
11,53.9228,2.71037,1.52506,0.82261,0.51021,0.17128,0.21342,0.07804,2.62764,1.72805,0.80831,0.00060903,0.00060903,0.00060903
12,57.8818,2.63491,1.46736,0.81416,0.49721,0.23472,0.24873,0.08876,2.55221,1.48557,0.79919,0.000579033,0.000579033,0.000579033
13,61.8017,2.61355,1.43588,0.80858,0.48244,0.25091,0.26306,0.09823,2.49596,1.43913,0.79969,0.000549036,0.000549036,0.000549036
14,65.7161,2.56119,1.41121,0.81144,0.47138,0.31034,0.29734,0.1154,2.4103,1.30217,0.79259,0.000519039,0.000519039,0.000519039
15,69.6697,2.51838,1.35612,0.80459,0.50459,0.31229,0.29583,0.11563,2.39816,1.28332,0.79136,0.000489042,0.000489042,0.000489042
16,73.6102,2.48013,1.33373,0.80399,0.46345,0.32002,0.29456,0.10652,2.48151,1.24358,0.7929,0.000459045,0.000459045,0.000459045
17,77.4849,2.62043,1.38397,0.80638,0.48843,0.32283,0.30052,0.10878,2.47856,1.24119,0.79216,0.000429048,0.000429048,0.000429048
18,81.378,2.52971,1.34502,0.80114,0.49494,0.33489,0.31908,0.12516,2.44646,1.28163,0.79201,0.000399051,0.000399051,0.000399051
19,85.3484,2.49097,1.32519,0.79553,0.51609,0.35835,0.3428,0.13954,2.32385,1.19446,0.78507,0.000369054,0.000369054,0.000369054
20,89.2493,2.42647,1.27977,0.79361,0.50253,0.36491,0.3468,0.14158,2.31385,1.12611,0.78301,0.000339057,0.000339057,0.000339057
21,96.909,2.26958,1.25581,0.80298,0.54832,0.35208,0.35939,0.14492,2.28124,1.19313,0.78161,0.00030906,0.00030906,0.00030906
22,100.743,2.18505,1.1936,0.80094,0.50555,0.36563,0.35774,0.14511,2.27505,1.1167,0.78226,0.000279063,0.000279063,0.000279063
23,104.421,2.17809,1.18615,0.79649,0.50165,0.37994,0.36557,0.15052,2.26254,1.10954,0.77773,0.000249066,0.000249066,0.000249066
24,108.385,2.14885,1.15774,0.7974,0.521,0.38303,0.36877,0.15368,2.23118,1.09671,0.77772,0.000219069,0.000219069,0.000219069
25,112.079,2.11871,1.13915,0.79525,0.50066,0.38712,0.36648,0.15372,2.21171,1.08357,0.77609,0.000189072,0.000189072,0.000189072
26,115.783,2.08003,1.12781,0.79518,0.51759,0.38742,0.36734,0.15184,2.23504,1.10006,0.77703,0.000159075,0.000159075,0.000159075
27,119.399,2.08785,1.12652,0.79268,0.52918,0.3919,0.38092,0.16336,2.20177,1.07581,0.77587,0.000129078,0.000129078,0.000129078
28,123.105,2.10756,1.13257,0.79541,0.53056,0.39408,0.38829,0.16231,2.20866,1.06635,0.77594,9.9081e-05,9.9081e-05,9.9081e-05
29,126.747,2.08698,1.11281,0.78875,0.54832,0.39925,0.39384,0.16611,2.17354,1.05506,0.77286,6.9084e-05,6.9084e-05,6.9084e-05
30,130.404,2.07436,1.10966,0.79172,0.54135,0.40438,0.39739,0.16928,2.16298,1.04114,0.77308,3.9087e-05,3.9087e-05,3.9087e-05
